country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Lesotho,LS,LSO,426,Urban,1,Flush and pour flush - to piped sewer system,0.058,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,2,Flush and pour flush - to septic tank,0.026,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,3,Flush and pour flush - to pit,0.008,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,5,Flush and pour flush - to elsewhere,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.421,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,8,Dry latrines - Traditional latrine,0.384,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,11,Dry latrines - Bucket latrine,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,12,Dry latrines - Other,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,13,Composting toilets,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,14,Other improved,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,15,"No facility, bush, field",0.104,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,16,Other unimproved,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,17,DK/missing information,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,1,Flush and pour flush - to piped sewer system,0.006,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,2,Flush and pour flush - to septic tank,0.003,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,3,Flush and pour flush - to pit,0.005,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,5,Flush and pour flush - to elsewhere,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.149,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,8,Dry latrines - Traditional latrine,0.293,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,11,Dry latrines - Bucket latrine,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,12,Dry latrines - Other,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,13,Composting toilets,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,14,Other improved,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,15,"No facility, bush, field",0.545,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,16,Other unimproved,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Rural,17,DK/missing information,0.0,"Census, 2006 - CEN06"
Lesotho,LS,LSO,426,Urban,1,Flush and pour flush - to piped sewer system,0.035,Demographic and Health Survey - DHS09
Lesotho,LS,LSO,426,Urban,2,Flush and pour flush - to septic tank,0.033,Demographic and Health Survey - DHS09
Lesotho,LS,LSO,426,Urban,3,Flush and pour flush - to pit,0.003,Demographic and Health Survey - DHS09
Lesotho,LS,LSO,426,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.006,Demographic and Health Survey - DHS09
