country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Ghana,GH,GHA,288,Urban,1,Flush and pour flush - to piped sewer system,0.156,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,2,Flush and pour flush - to septic tank,0.121,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.431,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.068,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,11,Dry latrines - Bucket latrine,0.044,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.07,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.361,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,13,Composting toilets,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,14,Other improved,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,15,"No facility, bush, field",0.097,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,16,Other unimproved,0.073,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,17,DK/missing information,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,1,Flush and pour flush - to piped sewer system,0.035,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,2,Flush and pour flush - to septic tank,0.007,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.311,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.28,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,11,Dry latrines - Bucket latrine,0.006,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.069,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.242,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,13,Composting toilets,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,14,Other improved,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,15,"No facility, bush, field",0.32,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,16,Other unimproved,0.041,World Health Survey - WHS03
Ghana,GH,GHA,288,Rural,17,DK/missing information,0.0,World Health Survey - WHS03
Ghana,GH,GHA,288,Urban,1,Flush and pour flush - to piped sewer system,0.038,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,2,Flush and pour flush - to septic tank,0.149,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,3,Flush and pour flush - to pit,0.053,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.465,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.12,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.07,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,11,Dry latrines - Bucket latrine,0.017,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,15,"No facility, bush, field",0.087,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,17,DK/missing information,0.001,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,1,Flush and pour flush - to piped sewer system,0.006,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,2,Flush and pour flush - to septic tank,0.012,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,3,Flush and pour flush - to pit,0.006,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.19,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.238,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.19,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,11,Dry latrines - Bucket latrine,0.002,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,15,"No facility, bush, field",0.355,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,16,Other unimproved,0.001,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
Ghana,GH,GHA,288,Urban,1,Flush and pour flush - to piped sewer system,0.038,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,2,Flush and pour flush - to septic tank,0.2,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,3,Flush and pour flush - to pit,0.044,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,5,Flush and pour flush - to elsewhere,0.001,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.516,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.069,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.04,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,11,Dry latrines - Bucket latrine,0.018,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,13,Composting toilets,0.0,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS08
Ghana,GH,GHA,288,Urban,15,"No facility, bush, field",0.072,Demographic and Health Survey - DHS08
