country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Burkina Faso,BF,BFA,854,Urban,1,Flush and pour flush - to piped sewer system,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,2,Flush and pour flush - to septic tank,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,3,Flush and pour flush - to pit,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,5,Flush and pour flush - to elsewhere,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,8,Dry latrines - Traditional latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,11,Dry latrines - Bucket latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,12,Dry latrines - Other,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,13,Composting toilets,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,14,Other improved,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,15,"No facility, bush, field",0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,16,Other unimproved,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,17,DK/missing information,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,1,Flush and pour flush - to piped sewer system,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,2,Flush and pour flush - to septic tank,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,3,Flush and pour flush - to pit,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,5,Flush and pour flush - to elsewhere,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,8,Dry latrines - Traditional latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,11,Dry latrines - Bucket latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,12,Dry latrines - Other,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,13,Composting toilets,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,14,Other improved,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,15,"No facility, bush, field",0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,16,Other unimproved,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Rural,17,DK/missing information,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,1,Flush and pour flush - to piped sewer system,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,2,Flush and pour flush - to septic tank,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,3,Flush and pour flush - to pit,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,5,Flush and pour flush - to elsewhere,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,8,Dry latrines - Traditional latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,11,Dry latrines - Bucket latrine,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,12,Dry latrines - Other,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,13,Composting toilets,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,14,Other improved,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,15,"No facility, bush, field",0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,16,Other unimproved,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,National,17,DK/missing information,0.0,Questionnaire à Indicateur de Base du Bien-être - QUIBB03
Burkina Faso,BF,BFA,854,Urban,1,Flush and pour flush - to piped sewer system,0.0,Enquête burkinabé sur les conditions de vie des ménages (EBCVM) - EBCVM03
Burkina Faso,BF,BFA,854,Urban,2,Flush and pour flush - to septic tank,0.05,Enquête burkinabé sur les conditions de vie des ménages (EBCVM) - EBCVM03
Burkina Faso,BF,BFA,854,Urban,3,Flush and pour flush - to pit,0.0,Enquête burkinabé sur les conditions de vie des ménages (EBCVM) - EBCVM03
