country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Guadeloupe,GP,GLP,312,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,8,Dry latrines - Traditional latrine,0.033,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,11,Dry latrines - Bucket latrine,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,12,Dry latrines - Other,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,13,Composting toilets,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,14,Other improved,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,15,"No facility, bush, field",0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,16,Other unimproved,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,National,17,DK/missing information,0.0,CENSUS 2011 - CEN11
Guadeloupe,GP,GLP,312,Urban,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,2,Flush and pour flush - to septic tank,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,3,Flush and pour flush - to pit,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,8,Dry latrines - Traditional latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,11,Dry latrines - Bucket latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,12,Dry latrines - Other,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,13,Composting toilets,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,14,Other improved,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,15,"No facility, bush, field",0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,16,Other unimproved,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,17,DK/missing information,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,2,Flush and pour flush - to septic tank,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,3,Flush and pour flush - to pit,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,8,Dry latrines - Traditional latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,11,Dry latrines - Bucket latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,12,Dry latrines - Other,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,13,Composting toilets,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,14,Other improved,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,15,"No facility, bush, field",0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,16,Other unimproved,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Rural,17,DK/missing information,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,1,Flush and pour flush - to piped sewer system,0.386,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,2,Flush and pour flush - to septic tank,0.458,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,3,Flush and pour flush - to pit,0.126,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,8,Dry latrines - Traditional latrine,0.031,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,11,Dry latrines - Bucket latrine,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,12,Dry latrines - Other,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,13,Composting toilets,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,14,Other improved,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,15,"No facility, bush, field",0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,16,Other unimproved,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,National,17,DK/missing information,0.0,CENSUS 2012 - CEN12
Guadeloupe,GP,GLP,312,Urban,1,Flush and pour flush - to piped sewer system,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,2,Flush and pour flush - to septic tank,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,3,Flush and pour flush - to pit,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,5,Flush and pour flush - to elsewhere,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,8,Dry latrines - Traditional latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,11,Dry latrines - Bucket latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,12,Dry latrines - Other,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,13,Composting toilets,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,14,Other improved,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,15,"No facility, bush, field",0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,16,Other unimproved,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,17,DK/missing information,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,1,Flush and pour flush - to piped sewer system,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,2,Flush and pour flush - to septic tank,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,3,Flush and pour flush - to pit,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,5,Flush and pour flush - to elsewhere,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,8,Dry latrines - Traditional latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,11,Dry latrines - Bucket latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,12,Dry latrines - Other,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,13,Composting toilets,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,14,Other improved,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,15,"No facility, bush, field",0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,16,Other unimproved,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Rural,17,DK/missing information,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,1,Flush and pour flush - to piped sewer system,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,2,Flush and pour flush - to septic tank,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,3,Flush and pour flush - to pit,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,5,Flush and pour flush - to elsewhere,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,8,Dry latrines - Traditional latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,11,Dry latrines - Bucket latrine,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,12,Dry latrines - Other,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,13,Composting toilets,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,14,Other improved,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,15,"No facility, bush, field",0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,16,Other unimproved,0.018,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,National,17,DK/missing information,0.0,Enquete Logement 2013 - EL13
Guadeloupe,GP,GLP,312,Urban,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,2,Flush and pour flush - to septic tank,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,3,Flush and pour flush - to pit,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,8,Dry latrines - Traditional latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,11,Dry latrines - Bucket latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,12,Dry latrines - Other,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,13,Composting toilets,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,14,Other improved,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,15,"No facility, bush, field",0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,16,Other unimproved,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,17,DK/missing information,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,2,Flush and pour flush - to septic tank,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,3,Flush and pour flush - to pit,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,8,Dry latrines - Traditional latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,11,Dry latrines - Bucket latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,12,Dry latrines - Other,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,13,Composting toilets,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,14,Other improved,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,15,"No facility, bush, field",0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,16,Other unimproved,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Rural,17,DK/missing information,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,1,Flush and pour flush - to piped sewer system,0.387,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,2,Flush and pour flush - to septic tank,0.459,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,3,Flush and pour flush - to pit,0.126,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,8,Dry latrines - Traditional latrine,0.027,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,11,Dry latrines - Bucket latrine,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,12,Dry latrines - Other,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,13,Composting toilets,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,14,Other improved,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,15,"No facility, bush, field",0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,16,Other unimproved,0.0,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,National,17,DK/missing information,0.001,CENSUS 2008 - CEN13
Guadeloupe,GP,GLP,312,Urban,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,2,Flush and pour flush - to septic tank,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,3,Flush and pour flush - to pit,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,8,Dry latrines - Traditional latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,11,Dry latrines - Bucket latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,12,Dry latrines - Other,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,13,Composting toilets,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,14,Other improved,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,15,"No facility, bush, field",0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,16,Other unimproved,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,17,DK/missing information,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,2,Flush and pour flush - to septic tank,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,3,Flush and pour flush - to pit,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,8,Dry latrines - Traditional latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,11,Dry latrines - Bucket latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,12,Dry latrines - Other,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,13,Composting toilets,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,14,Other improved,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,15,"No facility, bush, field",0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,16,Other unimproved,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Rural,17,DK/missing information,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,1,Flush and pour flush - to piped sewer system,0.39,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,2,Flush and pour flush - to septic tank,0.461,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,3,Flush and pour flush - to pit,0.126,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,8,Dry latrines - Traditional latrine,0.024,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,11,Dry latrines - Bucket latrine,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,12,Dry latrines - Other,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,13,Composting toilets,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,14,Other improved,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,15,"No facility, bush, field",0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,16,Other unimproved,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,National,17,DK/missing information,0.0,CENSUS 2014 - CEN14
Guadeloupe,GP,GLP,312,Urban,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,2,Flush and pour flush - to septic tank,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,3,Flush and pour flush - to pit,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,8,Dry latrines - Traditional latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,11,Dry latrines - Bucket latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,12,Dry latrines - Other,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,13,Composting toilets,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,14,Other improved,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,15,"No facility, bush, field",0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,16,Other unimproved,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Urban,17,DK/missing information,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,1,Flush and pour flush - to piped sewer system,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,2,Flush and pour flush - to septic tank,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,3,Flush and pour flush - to pit,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,5,Flush and pour flush - to elsewhere,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,8,Dry latrines - Traditional latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,11,Dry latrines - Bucket latrine,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,12,Dry latrines - Other,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,13,Composting toilets,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,14,Other improved,0.0,CENSUS 2015 - CEN15
Guadeloupe,GP,GLP,312,Rural,15,"No facility, bush, field",0.0,CENSUS 2015 - CEN15
