country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Mozambique,MZ,MOZ,508,Rural,13,Composting toilets,0.0,MEASURE DHS - AIDS Indicators Survey (AIS) - AIS09
Mozambique,MZ,MOZ,508,Rural,14,Other improved,0.0,MEASURE DHS - AIDS Indicators Survey (AIS) - AIS09
Mozambique,MZ,MOZ,508,Rural,15,"No facility, bush, field",0.526,MEASURE DHS - AIDS Indicators Survey (AIS) - AIS09
Mozambique,MZ,MOZ,508,Rural,16,Other unimproved,0.012,MEASURE DHS - AIDS Indicators Survey (AIS) - AIS09
Mozambique,MZ,MOZ,508,Rural,17,DK/missing information,0.0,MEASURE DHS - AIDS Indicators Survey (AIS) - AIS09
Mozambique,MZ,MOZ,508,Urban,1,Flush and pour flush - to piped sewer system,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,2,Flush and pour flush - to septic tank,0.188,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,3,Flush and pour flush - to pit,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,5,Flush and pour flush - to elsewhere,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.39,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,8,Dry latrines - Traditional latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.295,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,11,Dry latrines - Bucket latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,12,Dry latrines - Other,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,13,Composting toilets,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,14,Other improved,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,15,"No facility, bush, field",0.127,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,16,Other unimproved,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Urban,17,DK/missing information,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,1,Flush and pour flush - to piped sewer system,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,2,Flush and pour flush - to septic tank,0.007,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,3,Flush and pour flush - to pit,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,5,Flush and pour flush - to elsewhere,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.125,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,8,Dry latrines - Traditional latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.382,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,11,Dry latrines - Bucket latrine,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,12,Dry latrines - Other,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,13,Composting toilets,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,14,Other improved,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,15,"No facility, bush, field",0.485,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,16,Other unimproved,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
Mozambique,MZ,MOZ,508,Rural,17,DK/missing information,0.0,"Inquérito ao Orçamento Familiar, 2014-2015 - IOF15"
