country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Sudan,SD,SDN,729,Urban,1,Flush and pour flush - to piped sewer system,0.014,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,2,Flush and pour flush - to septic tank,0.057,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,3,Flush and pour flush - to pit,0.06,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.002,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,5,Flush and pour flush - to elsewhere,0.004,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.102,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.305,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,8,Dry latrines - Traditional latrine,0.0,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.229,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.001,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,11,Dry latrines - Bucket latrine,0.0,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.001,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,11,Dry latrines - Bucket latrine,0.0,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,12,Dry latrines - Other,0.0,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,13,Composting toilets,0.008,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,14,Other improved,0.0,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,15,"No facility, bush, field",0.191,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,16,Other unimproved,0.023,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Urban,17,DK/missing information,0.004,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,1,Flush and pour flush - to piped sewer system,0.001,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,2,Flush and pour flush - to septic tank,0.004,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,3,Flush and pour flush - to pit,0.002,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,5,Flush and pour flush - to elsewhere,0.001,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.059,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.11,Sudan Household Health Survey - SHHS06
Sudan,SD,SDN,729,Rural,8,Dry latrines - Traditional latrine,0.0,Sudan Household Health Survey - SHHS06
