country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Kazakhstan,KZ,KAZ,398,Urban,1,Flush and pour flush - to piped sewer system,0.775,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,2,Flush and pour flush - to septic tank,0.022,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.196,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.002,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.18,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.016,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,13,Composting toilets,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,14,Other improved,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,15,"No facility, bush, field",0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,16,Other unimproved,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,17,DK/missing information,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,1,Flush and pour flush - to piped sewer system,0.143,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,2,Flush and pour flush - to septic tank,0.087,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.734,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.01,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,11,Dry latrines - Bucket latrine,0.006,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.717,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.017,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,13,Composting toilets,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,14,Other improved,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,15,"No facility, bush, field",0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,16,Other unimproved,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Rural,17,DK/missing information,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,1,Flush and pour flush - to piped sewer system,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,2,Flush and pour flush - to septic tank,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,13,Composting toilets,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,14,Other improved,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,15,"No facility, bush, field",0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,16,Other unimproved,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,National,17,DK/missing information,0.0,World Health Survey - WHS03
Kazakhstan,KZ,KAZ,398,Urban,1,Flush and pour flush - to piped sewer system,0.607,Multiple Cluster Indicator Survey - MICS06
Kazakhstan,KZ,KAZ,398,Urban,2,Flush and pour flush - to septic tank,0.016,Multiple Cluster Indicator Survey - MICS06
Kazakhstan,KZ,KAZ,398,Urban,3,Flush and pour flush - to pit,0.013,Multiple Cluster Indicator Survey - MICS06
Kazakhstan,KZ,KAZ,398,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Cluster Indicator Survey - MICS06
Kazakhstan,KZ,KAZ,398,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Cluster Indicator Survey - MICS06
Kazakhstan,KZ,KAZ,398,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.004,Multiple Cluster Indicator Survey - MICS06
Kazakhstan,KZ,KAZ,398,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.355,Multiple Cluster Indicator Survey - MICS06
