country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Madagascar,MG,MDG,450,Urban,1,Flush and pour flush - to piped sewer system,0.01,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,2,Flush and pour flush - to septic tank,0.08,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.008,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.013,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,8,Dry latrines - Traditional latrine,0.13,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.588,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,15,"No facility, bush, field",0.172,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,1,Flush and pour flush - to piped sewer system,0.001,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,2,Flush and pour flush - to septic tank,0.005,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,8,Dry latrines - Traditional latrine,0.016,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.501,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,15,"No facility, bush, field",0.476,Multiple Indicator Cluster Survey - MICS00
Madagascar,MG,MDG,450,Rural,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
